# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 FPKM in experiment E-ENAD-34
# Selected columns: 11 (all)
# Timestamp: Wed, 16-Jul-2025 14:08:40
Gene ID	Gene Name	CD14-positive, CD16-negative classical monocyte, non smoker	CD14-positive, CD16-negative classical monocyte, not available	CD14-positive, CD16-negative classical monocyte, past smoker	CD4-positive, alpha-beta T cell, non smoker	CD4-positive, alpha-beta T cell, not available	CD4-positive, alpha-beta T cell, past smoker	CD4-positive, alpha-beta T cell, smoker	mature neutrophil, non smoker	mature neutrophil, not available	mature neutrophil, past smoker	mature neutrophil, smoker
ENSG00000001630	CYP51A1	0.4	0.4	0.4	0.4	0.4	0.4	0.3				
ENSG00000001631	KRIT1	2.0	2.0	2.0	3.0	3.0	3.0	2.0	0.5	0.5	0.5	0.6
ENSG00000002016	RAD52	5.0	5.0	5.0	7.0	7.0	7.0	5.0	3.0	3.0	3.0	2.0
ENSG00000002079	MYH16							0.1				
ENSG00000002330	BAD	2.0	3.0	2.0	3.0	4.0	4.0	3.0	2.0	2.0	2.0	4.0
ENSG00000002549	LAP3	48.0	53.0	52.0	8.0	9.0	8.0	9.0	7.0	8.0	8.0	10.0
ENSG00000002586	CD99	16.0	15.0	15.0	11.0	11.0	12.0	13.0	0.1	0.1	0.1	0.1
ENSG00000002587	HS3ST1	0.2	0.2	0.2								
ENSG00000002726	AOC1								0.4	0.5	0.5	0.6
ENSG00000002745	WNT16			0.1	0.3	0.3	0.3	0.3				
ENSG00000002822	MAD1L1	5.0	5.0	5.0	8.0	8.0	8.0	6.0	0.6	0.6	0.5	1.0
ENSG00000002834	LASP1	29.0	28.0	29.0	14.0	14.0	13.0	13.0	52.0	55.0	51.0	61.0
ENSG00000002919	SNX11	11.0	11.0	11.0	9.0	8.0	8.0	8.0	17.0	19.0	17.0	15.0
ENSG00000002933	TMEM176A	14.0	13.0	13.0								
ENSG00000003056	M6PR	41.0	42.0	42.0	24.0	25.0	25.0	27.0	5.0	5.0	5.0	5.0
ENSG00000003096	KLHL13	0.1	0.1	0.1	0.3	0.3	0.2	0.3				
ENSG00000003137	CYP26B1											1.0
ENSG00000003147	ICA1	1.0	1.0	1.0	0.2	0.3	0.2	0.2	1.0	0.9	1.0	1.0
ENSG00000003249	DBNDD1				0.8	0.8	0.8	1.0				
ENSG00000003393	ALS2	4.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ENSG00000003400	CASP10	12.0	13.0	12.0	12.0	12.0	11.0	13.0	2.0	2.0	3.0	3.0
ENSG00000003402	CFLAR	18.0	18.0	17.0	14.0	14.0	13.0	15.0	74.0	71.0	76.0	72.0
ENSG00000003436	TFPI					0.1						
ENSG00000003509	NDUFAF7	7.0	6.0	7.0	9.0	8.0	9.0	8.0	4.0	3.0	4.0	3.0
ENSG00000003756	RBM5	18.0	18.0	18.0	24.0	23.0	23.0	23.0	23.0	23.0	23.0	22.0
ENSG00000003987	MTMR7	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8
ENSG00000004059	ARF5	30.0	30.0	30.0	16.0	17.0	17.0	19.0	25.0	26.0	24.0	37.0
ENSG00000004139	SARM1	0.4	0.4	0.4	3.0	3.0	3.0	3.0	0.1	0.1	0.1	0.1
ENSG00000004142	POLDIP2	17.0	17.0	17.0	16.0	16.0	16.0	18.0	8.0	8.0	8.0	9.0
ENSG00000004399	PLXND1	17.0	16.0	16.0	0.4	0.4	0.3	1.0				
ENSG00000004455	AK2	22.0	23.0	23.0	15.0	15.0	15.0	13.0	3.0	3.0	3.0	4.0
ENSG00000004468	CD38	3.0	3.0	3.0	4.0	4.0	4.0	6.0	0.9	0.9	0.9	0.7
ENSG00000004478	FKBP4	5.0	6.0	5.0	8.0	8.0	8.0	7.0	0.3	0.4	0.3	0.5
ENSG00000004487	KDM1A	15.0	15.0	15.0	19.0	19.0	19.0	20.0	0.6	0.6	0.6	0.5
ENSG00000004534	RBM6	25.0	24.0	25.0	28.0	28.0	27.0	32.0	7.0	7.0	7.0	7.0
ENSG00000004660	CAMKK1	2.0	2.0	2.0	1.0	2.0	1.0	3.0	5.0	5.0	5.0	7.0
ENSG00000004700	RECQL	15.0	16.0	16.0	15.0	15.0	15.0	15.0	4.0	4.0	4.0	5.0
ENSG00000004766	VPS50	7.0	7.0	7.0	6.0	7.0	6.0	5.0	0.4	0.5	0.4	0.3
ENSG00000004777	ARHGAP33	0.2	0.2	0.2	0.8	0.8	0.8	3.0	0.1	0.1	0.1	0.2
ENSG00000004779	NDUFAB1	13.0	14.0	13.0	13.0	13.0	14.0	11.0	1.0	1.0	0.9	1.0
ENSG00000004799	PDK4	40.0	26.0	34.0				0.1	1.0	1.0	1.0	1.0
ENSG00000004809	SLC22A16	2.0	2.0	2.0								
ENSG00000004838	ZMYND10	0.4	0.4	0.3	0.2	0.3	0.2	0.3	0.3	0.4	0.3	0.3
ENSG00000004864	SLC25A13	11.0	10.0	11.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
ENSG00000004866	ST7	1.0	1.0	1.0	0.4	0.4	0.4	0.5	0.1		0.1	
ENSG00000004897	CDC27	13.0	13.0	13.0	14.0	14.0	14.0	13.0	7.0	7.0	7.0	7.0
ENSG00000004961	HCCS	10.0	10.0	9.0	2.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0
ENSG00000004975	DVL2	3.0	3.0	3.0	7.0	7.0	7.0	7.0	1.0	1.0	1.0	2.0
ENSG00000005001	PRSS22							0.1				
ENSG00000005007	UPF1	9.0	9.0	9.0	12.0	12.0	12.0	11.0	18.0	19.0	18.0	24.0
ENSG00000005020	SKAP2	36.0	36.0	37.0	0.6	0.7	0.6	0.6	70.0	76.0	78.0	50.0
ENSG00000005022	SLC25A5	97.0	100.0	102.0	46.0	46.0	48.0	53.0	9.0	10.0	9.0	11.0
ENSG00000005059	MCUB	23.0	23.0	24.0	51.0	50.0	51.0	61.0				0.1
ENSG00000005075	POLR2J	9.0	8.0	9.0	9.0	10.0	10.0	7.0	9.0	10.0	8.0	10.0
ENSG00000005100	DHX33	3.0	3.0	3.0	2.0	2.0	2.0	4.0	0.5	0.6	0.5	0.6
ENSG00000005102	MEOX1				1.0	0.9	1.0	0.8				
ENSG00000005156	LIG3	4.0	4.0	4.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	2.0
ENSG00000005175	RPAP3	8.0	8.0	9.0	9.0	9.0	9.0	10.0	13.0	12.0	12.0	8.0
ENSG00000005187	ACSM3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1	0.1	0.1	0.1
ENSG00000005189	REXO5	0.4	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000005194	CIAPIN1	7.0	8.0	8.0	10.0	11.0	10.0	15.0	1.0	1.0	1.0	1.0
ENSG00000005206	SPPL2B	2.0	2.0	2.0	7.0	7.0	6.0	11.0	0.6	0.6	0.6	1.0
ENSG00000005238	FAM214B	10.0	10.0	10.0	0.7	0.8	0.7	1.0	25.0	25.0	26.0	35.0
ENSG00000005243	COPZ2	1.0	1.0	1.0	0.2	0.2	0.2	0.2				
ENSG00000005249	PRKAR2B	5.0	5.0	6.0	0.4	0.4	0.4	0.3				
ENSG00000005302	MSL3	11.0	10.0	11.0	18.0	16.0	17.0	34.0	11.0	11.0	11.0	13.0
ENSG00000005339	CREBBP	11.0	11.0	10.0	11.0	11.0	10.0	20.0	27.0	26.0	30.0	22.0
ENSG00000005379	TSPOAP1	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.7	0.7	0.8	0.8
ENSG00000005381	MPO	3.0	3.0	3.0	0.1	0.1	0.1	0.6	0.5	0.6	0.5	0.6
ENSG00000005436	GCFC2	4.0	4.0	4.0	8.0	9.0	8.0	8.0	0.1	0.1	0.1	0.1
ENSG00000005448	WDR54	0.7	0.7	0.7	3.0	3.0	3.0	3.0				
ENSG00000005469	CROT	1.0	1.0	1.0	4.0	4.0	4.0	4.0	0.2	0.2	0.2	0.2
ENSG00000005471	ABCB4	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
ENSG00000005483	KMT2E	22.0	21.0	20.0	27.0	26.0	25.0	30.0	46.0	43.0	50.0	31.0
ENSG00000005486	RHBDD2	8.0	7.0	7.0	15.0	14.0	15.0	16.0	8.0	9.0	8.0	11.0
ENSG00000005513	SOX8				1.0	1.0	1.0	2.0				
ENSG00000005700	IBTK	16.0	17.0	17.0	12.0	13.0	12.0	11.0	0.3	0.3	0.3	0.2
ENSG00000005801	ZNF195	3.0	3.0	3.0	5.0	5.0	5.0	6.0	0.3	0.2	0.3	0.1
ENSG00000005810	MYCBP2	42.0	41.0	42.0	43.0	45.0	43.0	37.0	14.0	13.0	13.0	9.0
ENSG00000005812	FBXL3	13.0	13.0	14.0	18.0	20.0	18.0	18.0	20.0	20.0	19.0	15.0
ENSG00000005844	ITGAL	36.0	41.0	34.0	40.0	41.0	39.0	53.0	32.0	35.0	32.0	36.0
ENSG00000005882	PDK2	1.0	1.0	1.0	2.0	2.0	2.0	2.0				
ENSG00000005884	ITGA3				0.8	0.9	0.8	0.9				
ENSG00000005889	ZFX	18.0	18.0	16.0	17.0	16.0	16.0	11.0	17.0	16.0	16.0	14.0
ENSG00000005893	LAMP2	59.0	58.0	60.0	14.0	15.0	14.0	13.0	145.0	146.0	141.0	120.0
ENSG00000005961	ITGA2B	0.4	0.4	0.3	0.2	0.1	0.2	0.1				0.1
ENSG00000006007	GDE1	16.0	16.0	17.0	4.0	4.0	4.0	4.0	18.0	18.0	16.0	19.0
ENSG00000006015	REX1BD	3.0	4.0	3.0	11.0	11.0	11.0	10.0	0.8	0.8	0.6	1.0
ENSG00000006016	CRLF1	0.3	0.3	0.3	0.6	0.6	0.6	0.8	0.2	0.2	0.2	0.2
ENSG00000006025	OSBPL7	2.0	2.0	2.0	5.0	5.0	5.0	6.0	0.1	0.1	0.1	0.1
ENSG00000006062	MAP3K14	5.0	5.0	5.0	6.0	6.0	6.0	8.0	4.0	4.0	3.0	3.0
ENSG00000006118	TMEM132A	3.0	3.0	2.0	0.2	0.2	0.3	0.2	2.0	2.0	2.0	3.0
ENSG00000006125	AP2B1	14.0	13.0	14.0	18.0	17.0	18.0	20.0	9.0	8.0	9.0	7.0
ENSG00000006194	ZNF263	5.0	6.0	5.0	12.0	11.0	11.0	9.0	2.0	2.0	2.0	2.0
ENSG00000006282	SPATA20	5.0	5.0	6.0	4.0	3.0	4.0	2.0				
ENSG00000006327	TNFRSF12A	0.9	0.7	0.9					5.0	5.0	5.0	9.0
ENSG00000006432	MAP3K9				1.0	1.0	1.0	1.0				
ENSG00000006451	RALA	6.0	6.0	6.0	9.0	10.0	9.0	8.0	1.0	1.0	1.0	1.0
ENSG00000006453	BAIAP2L1	2.0	2.0	2.0	0.9	0.9	0.9	0.8	1.0	1.0	2.0	2.0
ENSG00000006459	KDM7A	44.0	44.0	43.0	24.0	23.0	24.0	24.0	47.0	44.0	48.0	34.0
ENSG00000006530	AGK	2.0	2.0	2.0	6.0	6.0	6.0	7.0	0.1	0.1	0.1	
ENSG00000006534	ALDH3B1	13.0	14.0	13.0	0.1	0.1	0.1	0.1	3.0	3.0	2.0	3.0
ENSG00000006555	TTC22				2.0	2.0	1.0	1.0	0.4	0.5	0.4	0.6
ENSG00000006576	PHTF2	6.0	6.0	6.0	5.0	6.0	5.0	6.0	2.0	2.0	2.0	1.0
ENSG00000006607	FARP2	2.0	2.0	2.0	1.0	1.0	1.0	2.0	0.4	0.5	0.4	0.5
ENSG00000006625	GGCT	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.2	0.2	0.2	0.2
ENSG00000006634	DBF4	4.0	4.0	4.0	10.0	10.0	10.0	9.0	0.5	0.5	0.5	0.4
ENSG00000006638	TBXA2R				0.9	1.0	0.9	1.0				
ENSG00000006652	IFRD1	22.0	24.0	22.0	10.0	10.0	11.0	7.0	84.0	81.0	83.0	81.0
ENSG00000006659	LGALS14				0.3	0.2	0.3	0.3				
ENSG00000006695	COX10	4.0	4.0	4.0	8.0	8.0	8.0	7.0	0.1	0.1	0.1	
ENSG00000006704	GTF2IRD1				0.1	0.1		0.1				
ENSG00000006712	PAF1	12.0	12.0	12.0	16.0	16.0	16.0	13.0	13.0	13.0	14.0	14.0
ENSG00000006715	VPS41	21.0	21.0	21.0	9.0	10.0	9.0	6.0	16.0	15.0	15.0	11.0
ENSG00000006740	ARHGAP44	0.1	0.1	0.1	0.2	0.2	0.2	0.2				
ENSG00000006744	ELAC2	7.0	7.0	7.0	12.0	12.0	12.0	12.0	0.4	0.4	0.4	0.5
ENSG00000006747	SCIN	0.1	0.1	0.1	0.1	0.1	0.1	0.2				
ENSG00000006756	ARSD	9.0	9.0	8.0	0.2	0.2	0.1	0.1	0.9	0.9	0.9	0.8
ENSG00000006757	PNPLA4	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.1	0.1	0.1	0.1
ENSG00000006831	ADIPOR2	14.0	14.0	14.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	9.0
ENSG00000006837	CDKL3	0.2	0.1	0.2	0.3	0.3	0.3	0.2	0.1	0.1	0.1	0.1
ENSG00000007001	UPP2								0.1	0.1	0.1	
ENSG00000007038	PRSS21	0.6	0.6	0.7	0.7	0.7	0.8	0.7				
ENSG00000007047	MARK4	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0
ENSG00000007062	PROM1				0.1	0.2	0.1	0.1				
ENSG00000007080	CCDC124	3.0	4.0	3.0	5.0	5.0	5.0	7.0	0.5	0.5	0.5	1.0
ENSG00000007129	CEACAM21	2.0	1.0	2.0	15.0	15.0	14.0	20.0	4.0	5.0	4.0	3.0
ENSG00000007168	PAFAH1B1	22.0	21.0	22.0	24.0	25.0	24.0	27.0	23.0	23.0	23.0	26.0
ENSG00000007171	NOS2				0.1	0.1	0.1	0.2				
ENSG00000007174	DNAH9											0.1
ENSG00000007202	KIAA0100	31.0	30.0	31.0	18.0	18.0	18.0	18.0	9.0	9.0	9.0	9.0
ENSG00000007237	GAS7	49.0	47.0	49.0	0.3	0.3	0.2	0.6	15.0	13.0	14.0	16.0
ENSG00000007255	TRAPPC6A	9.0	9.0	9.0	24.0	23.0	25.0	24.0				
ENSG00000007264	MATK	0.1	0.2	0.1	2.0	2.0	2.0	1.0	0.1			
ENSG00000007306	CEACAM7										0.1	
ENSG00000007312	CD79B	1.0	1.0	1.0	3.0	3.0	3.0	3.0				
ENSG00000007341	ST7L	5.0	5.0	5.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0
ENSG00000007350	TKTL1	0.2	0.2	0.2	1.0	1.0	1.0	1.0	0.1	0.1	0.1	0.3
ENSG00000007376	RPUSD1	5.0	5.0	5.0	6.0	6.0	6.0	5.0	2.0	2.0	2.0	4.0
ENSG00000007384	RHBDF1	0.1	0.1	0.1	0.1	0.1	0.1					
ENSG00000007392	LUC7L	12.0	12.0	12.0	19.0	19.0	18.0	20.0	4.0	3.0	4.0	5.0
ENSG00000007402	CACNA2D2	0.2	0.2	0.2	0.8	0.7	0.8	1.0	0.1	0.1	0.1	0.1
ENSG00000007516	BAIAP3	0.2	0.2	0.2	0.7	0.7	0.6	0.7	3.0	3.0	3.0	3.0
ENSG00000007520	TSR3	6.0	6.0	6.0	12.0	13.0	12.0	11.0	4.0	4.0	3.0	7.0
ENSG00000007541	PIGQ	1.0	1.0	1.0	2.0	2.0	2.0	2.0	0.6	0.6	0.5	1.0
ENSG00000007545	CRAMP1	1.0	1.0	1.0	2.0	2.0	2.0	3.0	0.5	0.5	0.5	0.5
ENSG00000007866	TEAD3	0.5	0.6	0.5	0.2	0.3	0.3	0.1	0.1	0.1	0.1	0.2
ENSG00000007908	SELE				0.1			0.1				
ENSG00000007923	DNAJC11	4.0	4.0	4.0	6.0	6.0	6.0	7.0	0.1	0.1	0.1	0.1
ENSG00000007944	MYLIP	21.0	22.0	20.0	48.0	48.0	49.0	55.0	42.0	44.0	37.0	39.0
ENSG00000007952	NOX1				0.1	0.1	0.1	0.1				
ENSG00000007968	E2F2	3.0	2.0	3.0	0.2	0.3	0.2	0.5	0.1	0.1	0.1	0.1
ENSG00000008018	PSMB1	42.0	42.0	42.0	37.0	36.0	37.0	41.0	25.0	25.0	25.0	27.0
ENSG00000008056	SYN1	0.3	0.2	0.3	0.3	0.2	0.3	0.1	0.2	0.2	0.3	0.3
ENSG00000008083	JARID2	34.0	32.0	33.0	14.0	13.0	13.0	14.0	47.0	46.0	47.0	44.0
ENSG00000008086	CDKL5	1.0	1.0	1.0	0.9	0.9	0.9	0.8	4.0	4.0	4.0	3.0
ENSG00000008128	CDK11A	1.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0
ENSG00000008130	NADK	42.0	43.0	41.0	5.0	5.0	5.0	5.0	108.0	117.0	105.0	127.0
ENSG00000008226	DLEC1	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0
ENSG00000008256	CYTH3	2.0	2.0	2.0	1.0	1.0	1.0	1.0	0.9	0.9	0.8	0.9
ENSG00000008277	ADAM22	0.2	0.2	0.2	1.0	1.0	1.0	1.0	0.2	0.2	0.2	0.2
ENSG00000008282	SYPL1	16.0	16.0	16.0	18.0	17.0	18.0	19.0	4.0	4.0	3.0	4.0
ENSG00000008283	CYB561	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0
ENSG00000008294	SPAG9	18.0	17.0	18.0	9.0	9.0	9.0	10.0	60.0	56.0	59.0	50.0
ENSG00000008300	CELSR3	0.2	0.2	0.2	0.5	0.5	0.6	0.9				
ENSG00000008311	AASS	0.2	0.3	0.2	3.0	2.0	2.0	2.0				
ENSG00000008323	PLEKHG6	1.0	1.0	1.0	0.5	0.6	0.6	0.6	5.0	6.0	6.0	6.0
ENSG00000008324	SS18L2	8.0	8.0	8.0	11.0	11.0	12.0	10.0	5.0	5.0	5.0	6.0
ENSG00000008382	MPND	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.9	1.0	0.9	2.0
ENSG00000008394	MGST1	5.0	5.0	5.0					0.1	0.1	0.1	
ENSG00000008405	CRY1	3.0	3.0	3.0	8.0	8.0	8.0	8.0	0.9	0.9	0.8	1.0
ENSG00000008438	PGLYRP1	0.2	0.2	0.1	0.7	0.6	0.6	0.7	33.0	42.0	30.0	52.0
ENSG00000008441	NFIX	1.0	1.0	1.0	0.5	0.6	0.6	1.0	0.1	0.2	0.2	0.2
ENSG00000008513	ST3GAL1	19.0	17.0	18.0	37.0	36.0	37.0	32.0	10.0	10.0	11.0	14.0
ENSG00000008516	MMP25	2.0	2.0	2.0	0.3	0.3	0.3	0.6	124.0	126.0	126.0	158.0
ENSG00000008517	IL32	0.4	0.4	0.3	23.0	24.0	24.0	31.0	1.0	2.0	1.0	1.0
ENSG00000008710	PKD1	1.0	1.0	1.0	5.0	6.0	5.0	5.0				
ENSG00000008735	MAPK8IP2							0.1				0.1
ENSG00000008838	MED24	4.0	4.0	4.0	6.0	6.0	6.0	8.0	0.1	0.1	0.1	0.1
ENSG00000008853	RHOBTB2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1	0.1	0.1	0.1
ENSG00000008869	HEATR5B	16.0	16.0	16.0	22.0	23.0	23.0	25.0	4.0	5.0	4.0	4.0
ENSG00000008952	SEC62	17.0	16.0	17.0	24.0	25.0	25.0	21.0	11.0	11.0	10.0	11.0
ENSG00000008988	RPS20	84.0	89.0	84.0	502.0	552.0	553.0	378.0	2.0	2.0	2.0	5.0
ENSG00000009307	CSDE1	150.0	149.0	152.0	154.0	154.0	158.0	154.0	88.0	83.0	85.0	84.0
ENSG00000009335	UBE3C	15.0	15.0	15.0	15.0	15.0	15.0	16.0	4.0	4.0	4.0	4.0
ENSG00000009413	REV3L	10.0	10.0	10.0	8.0	8.0	8.0	6.0	9.0	7.0	9.0	7.0
ENSG00000009694	TENM1	0.5	0.6	0.5	4.0	4.0	4.0	5.0	2.0	2.0	2.0	3.0
ENSG00000009724	MASP2	2.0	1.0	2.0	5.0	4.0	5.0	9.0	2.0	2.0	2.0	1.0
ENSG00000009780	FAM76A	6.0	5.0	6.0	6.0	6.0	6.0	7.0	1.0	1.0	1.0	2.0
ENSG00000009790	TRAF3IP3	18.0	17.0	18.0	45.0	45.0	44.0	51.0	7.0	7.0	8.0	8.0
ENSG00000009830	POMT2	0.7	0.7	0.6	0.5	0.5	0.5	0.9	0.2	0.2	0.2	0.3
ENSG00000009844	VTA1	7.0	7.0	7.0	5.0	6.0	5.0	4.0	3.0	3.0	3.0	3.0
ENSG00000009954	BAZ1B	16.0	17.0	16.0	26.0	28.0	27.0	21.0	4.0	4.0	4.0	4.0
ENSG00000010017	RANBP9	17.0	16.0	17.0	23.0	22.0	22.0	21.0	17.0	18.0	17.0	15.0
ENSG00000010030	ETV7	0.9	0.9	0.9	0.2	0.1	0.1	0.2	3.0	3.0	3.0	3.0
ENSG00000010072	SPRTN	4.0	4.0	4.0	5.0	5.0	5.0	4.0	7.0	7.0	7.0	5.0
ENSG00000010165	EEF1AKNMT	4.0	5.0	4.0	5.0	6.0	4.0	3.0	0.8	0.8	0.8	0.6
ENSG00000010219	DYRK4	1.0	1.0	1.0	1.0	1.0	1.0	1.0				
ENSG00000010244	ZNF207	26.0	25.0	26.0	29.0	29.0	29.0	32.0	21.0	20.0	22.0	17.0
ENSG00000010256	UQCRC1	31.0	31.0	31.0	14.0	14.0	14.0	13.0	5.0	5.0	4.0	6.0
ENSG00000010270	STARD3NL	10.0	10.0	10.0	3.0	3.0	3.0	3.0	6.0	6.0	6.0	6.0
ENSG00000010278	CD9	1.0	1.0	2.0	0.3	0.4	0.2	0.2	0.4	0.6	0.8	2.0
ENSG00000010282	HHATL								0.1	0.1	0.1	0.1
ENSG00000010292	NCAPD2	6.0	6.0	7.0	12.0	12.0	12.0	12.0	3.0	3.0	3.0	3.0
ENSG00000010295	IFFO1	12.0	13.0	12.0	6.0	6.0	6.0	10.0	3.0	4.0	3.0	4.0
ENSG00000010310	GIPR				0.9	0.8	0.9	2.0				
ENSG00000010318	PHF7	1.0	1.0	1.0	2.0	2.0	2.0	4.0	1.0	0.9	1.0	1.0
ENSG00000010319	SEMA3G				0.1	0.1	0.1	0.1				
ENSG00000010322	NISCH	12.0	12.0	12.0	19.0	19.0	18.0	22.0	4.0	4.0	4.0	4.0
ENSG00000010327	STAB1	44.0	50.0	45.0								
ENSG00000010361	FUZ	2.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0	6.0	5.0	8.0
ENSG00000010379	SLC6A13				0.1	0.1	0.1		0.1	0.1	0.2	0.2
ENSG00000010404	IDS	8.0	7.0	8.0	7.0	7.0	7.0	14.0	34.0	30.0	36.0	26.0
ENSG00000010539	ZNF200	1.0	1.0	0.9	2.0	2.0	2.0	2.0	8.0	8.0	8.0	6.0
ENSG00000010610	CD4	81.0	77.0	80.0	50.0	48.0	49.0	68.0	2.0	2.0	2.0	2.0
ENSG00000010626	LRRC23	1.0	1.0	1.0	1.0	2.0	2.0	2.0	0.3	0.2	0.3	0.3
ENSG00000010671	BTK	38.0	38.0	37.0	0.3	0.4	0.3	0.9	10.0	10.0	9.0	9.0
ENSG00000010704	HFE	3.0	4.0	4.0	0.4	0.4	0.4	0.3	1.0	1.0	1.0	0.6
ENSG00000010803	SCMH1	2.0	3.0	2.0	6.0	6.0	6.0	6.0	0.9	0.9	0.8	0.7
ENSG00000010810	FYN	32.0	32.0	32.0	51.0	52.0	51.0	53.0	0.1	0.1	0.1	
ENSG00000010818	HIVEP2	3.0	3.0	3.0	41.0	39.0	41.0	31.0	16.0	17.0	18.0	16.0
ENSG00000010932	FMO1		0.1					0.1				
ENSG00000011007	ELOA	14.0	14.0	14.0	8.0	7.0	7.0	7.0	3.0	3.0	3.0	3.0
ENSG00000011009	LYPLA2	14.0	14.0	14.0	14.0	14.0	14.0	12.0	11.0	11.0	10.0	13.0
ENSG00000011021	CLCN6	6.0	6.0	6.0	2.0	2.0	2.0	3.0	0.3	0.3	0.3	0.2
ENSG00000011028	MRC2				0.3	0.3	0.3	0.3				
ENSG00000011105	TSPAN9	0.1	0.1	0.1	0.2	0.1	0.1	0.2				0.1
ENSG00000011114	BTBD7	6.0	6.0	6.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0
ENSG00000011132	APBA3	1.0	2.0	1.0	5.0	5.0	5.0	5.0	1.0	2.0	1.0	2.0
ENSG00000011143	MKS1	1.0	1.0	1.0	3.0	3.0	3.0	3.0				
ENSG00000011198	ABHD5	16.0	15.0	16.0	2.0	2.0	2.0	1.0	77.0	74.0	74.0	64.0
ENSG00000011201	ANOS1										0.1	0.1
ENSG00000011243	AKAP8L	10.0	10.0	10.0	15.0	14.0	14.0	17.0	6.0	6.0	6.0	8.0
ENSG00000011258	MBTD1	10.0	9.0	9.0	12.0	11.0	11.0	12.0	7.0	7.0	7.0	5.0
ENSG00000011260	UTP18	17.0	18.0	17.0	26.0	26.0	26.0	22.0	3.0	3.0	3.0	3.0
ENSG00000011275	RNF216	17.0	17.0	16.0	33.0	32.0	33.0	31.0	10.0	10.0	9.0	10.0
ENSG00000011295	TTC19	10.0	10.0	9.0	11.0	11.0	11.0	10.0	3.0	3.0	3.0	2.0
